station,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
52GQ6,71.11999999999999,68.18,66.26,64.34,62.78,61.699999999999996,61.52,61.4,61.279999999999994,61.52,60.26,59.96,61.21999999999999,64.94000000000001,68.96,71.11999999999999,73.88,74.54,76.39999999999999,78.26,78.56,78.86,78.86,77.0
69052,70.88000000000001,69.08,66.62,63.85999999999999,63.56,61.82,60.85999999999999,60.62,59.720000000000006,58.879999999999995,58.64000000000001,57.14000000000001,58.879999999999995,63.68000000000001,68.12,70.75999999999999,73.69999999999999,76.10000000000001,77.18,78.02,77.66000000000001,74.89999999999999,75.25999999999999,75.02
72201,80.96,80.06,80.06,80.06,80.06,78.98,78.08,78.08,77.0,75.92,75.92,75.02,75.92,78.08,80.06,78.98,80.06,82.04,82.04,82.94,82.94,82.04,80.96,80.06
72202,82.04,78.98,78.08,77.0,75.92,75.02,75.02,73.04,69.08,69.08,69.08,69.08,69.98,71.96,73.94,75.92,78.08,80.96,82.04,84.02,80.06,82.04,82.94,82.04
72203,71.06,69.98,73.04,73.04,71.96,69.98,68.0,68.0,66.92,64.94,64.94,64.04,66.02,69.98,71.96,75.02,77.0,78.08,78.98,80.06,78.98,80.96,80.96,78.08
72204,78.98,75.92,71.96,69.08,66.92,66.02,64.94,64.04,64.04,62.959999999999994,62.059999999999995,60.980000000000004,64.04,68.0,71.06,75.02,75.92,78.98,82.94,82.94,84.02,82.94,82.04,82.04
72205,75.02,71.96,69.98,68.0,66.92,64.94,64.94,64.04,62.059999999999995,62.059999999999995,62.059999999999995,60.08,62.959999999999994,66.92,71.96,75.02,75.92,78.08,78.08,80.96,82.94,82.94,82.04,78.98
72206,71.96,68.0,66.92,66.02,64.04,62.059999999999995,60.980000000000004,62.059999999999995,62.959999999999994,62.059999999999995,62.059999999999995,60.08,62.059999999999995,66.02,69.08,71.96,73.94,75.92,77.0,78.98,80.06,80.06,80.06,78.98
72210,72.02,70.28,70.04,69.38,69.32000000000001,68.89999999999999,68.96,68.89999999999999,68.96,68.54,67.94,68.24000000000001,69.44,72.5,74.24,74.72,75.25999999999999,76.10000000000001,76.7,77.18,76.64,75.25999999999999,73.94,72.44
72211,71.96,71.06,69.98,69.08,69.98,69.08,69.08,68.0,66.92,66.92,68.0,68.0,69.08,71.96,75.02,75.92,77.0,78.08,78.08,77.0,78.08,75.92,75.02,73.04
72212,66.56,64.58,63.32,62.78,62.42,61.88,62.959999999999994,62.24,59.72,57.2,58.82,58.28,60.08,63.68,67.64,70.34,73.4,75.2,76.28,75.92,76.1,75.74000000000001,74.12,71.96
